Review Title,Rating,Review Body,Review Date
Best budget processor in the entire market,5.0 out of 5 stars,Best budget processor 12th gen,13 November 2023
Ver nice performance,5.0 out of 5 stars,"Paired with 8 gb ram, H610M-E D4 Intel Lga 1700 Mic-ATX Motherboard, Western Digital WD Green SN350 NVMe 240GB, Upto 2400MB/s, and working fine. Go for it.",15 September 2023
Amazing speed,5.0 out of 5 stars,"The media could not be loaded.
                



For basic games and work it is good processor",12 September 2023
Okay,4.0 out of 5 stars,Okay,10 July 2023
Best budget processor,5.0 out of 5 stars,"Best processor you could find under 8k , it beats most processors which are more expensive than this one.. overall great for gaming in this price range",11 May 2023
Great,5.0 out of 5 stars,Working fine and great performance 😊,22 February 2023
Works flawlessly,5.0 out of 5 stars,The processor works with MSI H610M-B DDR4 Micro-ATX out of the box. The processor comes with a heatsink with fan and thermal paste is also present under the heatsink. No need to buy thermal paste.,24 September 2022
No title,No rating,Very nice CPU for light gaming! However the packaging it came with was terrible they just threw it on a plastic bag and ship it. This is unacceptable!,2 July 2024
No title,No rating,Works like a charm. For all my Steam Games it works very well. Did some benchmarking and got very decent numbers. I used it with 16 MB DDR4 3200 MHz RAM and an RTX 2060 I had lying around. Used Valley and Supposition with VSYNC on for 1080P and had solid 60 FPS. VSYNC off got 80 to 100 FPS. CPU usage was never above 25 percent.,30 June 2024
No title,No rating,"Perfecto para montar un pc gaming barato. Para trabajar, ofimática y navegación de sobra.",21 June 2024
No title,No rating,Best budget cpu for Esport game,17 June 2024
No title,No rating,Very good performance vs price ratio. Hard to find something better,5 June 2024
No title,No rating,"Très bon produit, rapport qualité prix parfait, je recommande",27 May 2024
No title,No rating,Getting over 100fps and even 150fps in some cases with a 6600XT OC (while keeping VRAM usage under 6gb of course) on new games.This is a great CPU if you're on a budget,22 May 2024
No title,No rating,"We only bought this to update BIOS on a new motherboard in order to use a newer CPU.  This lil guy was a perfect solution to not further cripple our collective wallets, and we got the update run at long last!  And now we have a spare CPU in case disaster strikes... again.",16 May 2024
No title,No rating,Works as expected!!!,14 May 2024
No title,No rating,Amazon sent a broken item to me.,11 May 2024
No title,No rating,"Sure you can pay more to get a cpu that’s better at complex tasks like video editing, but for more gaming this is able to carry even a midrange gpu easily.It’s very low cost too.",8 May 2024
No title,No rating,"Bought as a test CPU to see if motherboard was working, didn't use long, but seemed to be a good sub-$100 option.",7 May 2024
No title,No rating,good,29 April 2024
No title,No rating,I returned the item because it wasnt good nor did it work for my pc and they never gave my money back,29 April 2024
No title,No rating,Really good for budget builds,21 April 2024
No title,No rating,"Performs as expected, but you do need a GPU for video output. Just spend the $30 for the iGPU (i-3 12100) version (works great as a Plex/Emby/Jellyfin/etc media server).",18 April 2024
No title,No rating,"I used this to build a pc for my wife. The performance on this CPU (depending on supporting hardware) matches or exceeds many CPUs available at both similar and higher price points. If you are truly going for a budget build, it is hard to beat this below $100.I built her system with 16GB of DDR4 3200 ram, and an RX 6600 for the GPU, and she has no problem running anything either gaming or productivity.I don’t recommend going as cheap as you can on the motherboard, if you get this though. The performance on this can be great but you have to get supporting hardware to maximize it.",13 April 2024
No title,No rating,Packing already open. CPU in protect case not right position so protected case pust connect area. Heat sink not cleat and every where in CPU front and back. Box already open and fan is dirty. Original heat sink been used. I really don't mind if work but if not working I will return.,11 April 2024
No title,No rating,works well for low end gaming pc if paired with a 6650 for me love it,8 April 2024
No title,No rating,esta bien,1 April 2024
