Review Title,Rating,Review Body,Review Date
Good,4.0 out of 5 stars,Performance is good,11 November 2023
Used or Unboxed product received,3.0 out of 5 stars,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",24 August 2023
This is the best you'll get in this price range Thats it!,5.0 out of 5 stars,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",25 June 2023
Good Cpu but awful Delivery,1.0 out of 5 stars,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",20 June 2023
cpu with broken fan,1.0 out of 5 stars,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,26 April 2023
Awesome,5.0 out of 5 stars,"This is one of the best cpu in budget if you only looking for gaming.For productivity it not worth buying then you should go for i5 12400fBut for gaming and light cpu workload it work like butter smooth.I have teated some games in it , you can check it on my YT channel R tech studio.",16 November 2022
Best in price when even compared to i5 10400f,5.0 out of 5 stars,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,15 August 2022
No title,No rating,"La caja estaba rota por las esquinas y en malas condiciones, entiendo que sea de la empresa de reparto, pero el producto era frágil.",17 June 2024
No title,No rating,"Easy installation, runs smoothly, and overall amazing performance, package arrived nicely and all was a smooth process. One issue however is the thermal paste is already applied to the fan that is provided, for those who wish to instal their own fan, thermal paste should be ordered separately as it isn't provided in a syringe.",10 June 2024
No title,No rating,"J'ai vérifié les compatibilités, changé carte mère, puis ram, puis alim ne croyant pas que ca puisse venir du proc.. et pourtant.. il semble bien ce ca soit le cas, j'ai jamais vu ca en 20 ans de montage de pc.. mais bon.. il y a un début a tout, dommage que ca tombe sur moi :S",8 June 2024
No title,No rating,Bon produit pour du gaming mais j'aurais du me tourner vers son grand frère le i5 12400f qui est très proche au niveau prix ....,7 June 2024
No title,No rating,Läuft bis jetzt stabil.,31 May 2024
No title,No rating,"Muy fluido, con el entorno adecuado. Excelente relación precio prestaciones.",21 May 2024
No title,No rating,bien,19 May 2024
No title,No rating,all good works as should happy with purchase,7 May 2024
