Review Title,Rating,Review Body,Review Date,Sentiment
CPU cooler fan blade broken,1.0 out of 5 stars,Once it delivered... I unboxed the processor it has a broken blade...,23 January 2024,Negative
"PERFORMANCE, QUALITY",5.0 out of 5 stars,"Performance , Quality, Speed ,Value for Money  is  Good",1 November 2023,Positive
i3 12th gen processor intel,5.0 out of 5 stars,mast hai bhai le lo working is good.,20 October 2023,Positive
graphics very bad.,1.0 out of 5 stars,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only.",14 September 2023,Neutral
Good for regular use in office of home,5.0 out of 5 stars,Working fine,28 June 2023,Positive
Just Excellent,4.0 out of 5 stars,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.,4 June 2023,Positive
Perfect for beginners,5.0 out of 5 stars,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work.",21 October 2022,Positive
Very powerfull processor!! This one comes with 730 uhd graphics,5.0 out of 5 stars,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!,11 September 2022,Negative
affordable gaming CPU.  marginal performance improvement .better get 12400 or 12600 for gaming,3.0 out of 5 stars,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5,22 June 2022,Negative
No title,No rating,Super :-),19 May 2024,Positive
No title,No rating,"Great for general use and gaming, boosts nice and quick without generating too much heat. Integrated graphics are useful for when a dedicated video card isn't available.",6 May 2024,Positive
No title,No rating,reçut dans une enveloppe sans boîte ni ventilateur.juste le processeur comme ça... en vrac,17 April 2024,Neutral
No title,No rating,"Ich setze diese CPU's auf einem Asus Mainboard für Office-PC's ein. Für diesen Einsatzzweck optimal geeignet. Genug Power zu einem fairen Preis. Qualität von Intel halt. Wer damit Gamen möchte, sollte lieber zu einem i5 oder i7 greifen.",19 March 2024,Positive
