Review Title,Rating,Review Body,Review Date,Sentiment
Worst! Gave me used and defective product.,1.0 out of 5 stars,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!",25 June 2024,Neutral
Worst quality,1.0 out of 5 stars,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generation,28 March 2024,Negative
Waste of money,1.0 out of 5 stars,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.,7 December 2023,Negative
i9 14th gen is the beast!,5.0 out of 5 stars,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.",20 November 2023,Competition Sentiment
It's just a overclocked i7 13700k,2.0 out of 5 stars,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money,25 October 2023,Positive
Beast gaming 💪🐻,5.0 out of 5 stars,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it,23 October 2023,Positive
No title,No rating,"Bought this, worked great for about a week, then i started to get BSOD's, games and other programs crashing etc. I changed out the RAM, the Motherboard, GPU and even power supply because i couldn't believe the CPU was bad.... guess what it was the CPU.  They replaced it after fighting and the same issues happened again after a few days.  I never got the temp over 80c, this i9 has been having issues across the world and Intel refuses to to a product recall and actually fix it.  This might be the last intel CPU i buy.",1 July 2024,Positive
No title,No rating,"Be careful with cooling. Try to keep under 75 celcious, so water cooling is the best option here. Great performance and stability is achieved under 75 degrees. Using it for 3d graphic rendering. 5 stars.",30 June 2024,Positive
No title,No rating,予定通り届いたが、箱はCore i7-14700K、中身がCore i5-13600Kであった。購入をお勧めしない。,30 June 2024,Neutral
No title,No rating,"I think I may have gotten a defective CPU because the processor doesn't work, installer tried three different motherboards to rule out pcie failure on board, and tested with different ram, could not get through booting to windows without BOD'ing.",28 June 2024,Negative
No title,No rating,The only reason I knocked down the rating under value for the money is because I feel Intel is charging too much for this product. But hey that's just my opinion. Anyways. Good product. Puts AMD to shame is all ways again in my opinion.,24 June 2024,Competition Sentiment
No title,No rating,"This is a nice processor that I use in a dev box.  I have it air cooled and can play Minecraft with shaders all day on it with my 4080GTX and 128 gigs of memory.  The only issue I have is probably my own fault, in that I learned that intel did that stunt where they introduced P and E cores.  I'm not sure if they are making straight performance core models by the time I write this but if you are a rabid gamer make sure you are getting that type of proc and not this proc.  Still, this proc will do just fine for me as I use this for hyper-v and development work.  I'm sure it will play all the latest games just fine. and If it doesn't I can just pop in a different proc.",23 June 2024,Positive
No title,No rating,"Bueno vengo cambiando de una 12400F a 14600KF y el cambio es notorio estaba teniendo problemas con los cuellos de botella que me generaba en la RTX 4070 ti super y después de varios días con este procesador la fluidez y los FPS subieron mucho (alrededor de 40-80 FPS) obviamente se caliente un poco mas llegando a un máximo de 75C en blender pero en juegos es menor cerca de 65C y todo se siente muy bien.Excelente Procesador para mantener jugando por horas, estoy muy satisfecho con la compra.",23 June 2024,Positive
No title,No rating,"Overall this processor has worked well. I have had some minor issues with the PC crashing while playing games and I have not been able to pinpoint root cause. However, after doing some research, I did find that there are known issues with this processor. Had I known this prior to purchasing, I probably would have purchased a cheaper and more stable processor. Do your research prior to purchasing.",23 June 2024,Positive
No title,No rating,Works great in new build! Only slight issue is I felt like there wasn't quite enough thermal paste... I had some leftover from a previous build so I added some additional just to be safe.,20 June 2024,Positive
No title,No rating,Perfect,19 June 2024,Positive
No title,No rating,Muy bien.,18 June 2024,Neutral
No title,No rating,"Awesome CPU, and an absolute beast!I did not, however, recieve my code for Star Wars Outlaws. Amazon says it's an Intel thing, yet you cannot contact Intel to ask. Any ideas?",17 June 2024,Positive
No title,No rating,"Excelente Procesador y Precio, viene Unlocked por lo que puedes hacer overclocking, empaque original, y entrega super rapida.",17 June 2024,Positive
No title,No rating,"Perfect CPU, fast and reliable.Fast delivery",17 June 2024,Positive
No title,No rating,"This thing is unstable and intel knows it, can’t run it above base profiles or it crashes constantly and intel still doesn’t know how to fix it. Everyone who bought this overpriced room heating device should be refunded at once",16 June 2024,Negative
No title,No rating,I was afraid to purchase the 14th gen after all the talk of stability issues. When the the Bios fixes were mentioned I took a shot. I'm up and running with the power limits adjusted accordingly.,14 June 2024,Neutral
No title,No rating,"Came a defective unit, every time that i tried to turn on my pc the CPU light turned on, I've also updated my BIOS, used DDR4 and DDR5 and didn't work. Return is in process.",14 June 2024,Negative
No title,No rating,"Venditore inaffidabile, ho fatto 3 resi su questo venditore perchè i processori che ho ordinato avevano dei difetti ma non solo, aveva anche una specie di marchio quadrato all'esterno come se fosse stato ristampato il marchio, cosi contatto Intel e mi dicono che è molto strano questo e decidono di fare una sostituzione che non ho chiesto ma che ringrazio comunque, e all'arrivo del processore sostituito direttamente da Intel noto che questo stampo quadrato è diverso praticamente non esiste, la levigatura sul prodotto era differente.. Che dire, sono sempre rivenditori. Io ve lo sconsiglio.",13 June 2024,Negative
No title,No rating,"The CPU is really strong for both gaming and video-editing/movie creation. Haven't had any issues within the past 6 months I've had this. Never gave any issues, no malfunctions and it never stutters and this is without O.C. the CPU.",13 June 2024,Positive
No title,No rating,Terrific performer for my needs.  Runs fast and pretty cool,13 June 2024,Positive
No title,No rating,Ive tried both 13900k and 14900 k and have had issues with everything crashing games applications. I have changed multiple motherboard’s and ram kits very unstable. Dont recommend and or wish this stressful and painful struggle to anyone. I have tried many things and nothing absolutely nothing works,13 June 2024,Future Expectations
No title,No rating,"Still love Intel despite their lack of anything groundbreaking recently. CPU’s still work great for gaming, this one included. Works right out the box and went perfect with my new MSI motherboard too.",13 June 2024,Positive
No title,No rating,"It's fast, but it's not great for quality",11 June 2024,Negative
No title,No rating,"Nachdem ich meinen PC mit dem Intel Core i9-14900KF aufgerüstet habe, kann ich sagen, dass dieser Prozessor ein echtes Kraftpaket ist. Hier sind meine Eindrücke nach intensiver Nutzung:Leistung:Mit seinen 24 Kernen und einer beeindruckenden Taktrate liefert der i9-14900KF eine unglaubliche Leistung. Egal ob beim Gaming, bei der Videobearbeitung oder beim Multitasking – dieser Prozessor meistert alles mühelos. In Spielen wie Cyberpunk 2077 und Red Dead Redemption 2 laufen die Grafiken butterweich, selbst bei höchsten Einstellungen. Die Ladezeiten sind minimal und das Gameplay ist absolut flüssig.Multitasking:Ich arbeite oft mit mehreren anspruchsvollen Anwendungen gleichzeitig – von Adobe Premiere Pro über Photoshop bis hin zu Blender. Der i9-14900KF bewältigt diese Aufgaben ohne ins Schwitzen zu geraten. Selbst wenn ich ein Video rendere und gleichzeitig in einem anderen Fenster an einem großen Bildbearbeitungsprojekt arbeite, bleibt das System reaktionsschnell und stabil.Kühlung:Apropos Kühlung – der i9-14900KF kann unter Last ziemlich warm werden. Ich habe mich für eine hochwertige Wasserkühlung von NZXT entschieden (Kraken 360 Elite), um die Temperaturen im Griff zu behalten. Mit dieser AIO bleibt der Prozessor auch bei intensiven Gaming-Sessions oder langen Renderzeiten kühl und leise.Preis-Leistungs-Verhältnis:Der Preis des i9-14900KF ist sicherlich nicht niedrig, aber angesichts der gebotenen Leistung halte ich ihn für gerechtfertigt. Für Enthusiasten und Profis, die maximale Performance benötigen, ist dieser Prozessor eine lohnende Investition.Fazit:Der Intel Core i9-14900KF ist ein absolutes Monster in Sachen Leistung. Ob beim Gaming, bei kreativen Arbeiten oder beim Multitasking – dieser Prozessor liefert konstant beeindruckende Ergebnisse. Die Möglichkeit zur Übertaktung bietet zusätzlichen Spielraum für Performance-Enthusiasten. Auch wenn er etwas teurer ist und eine gute Kühlung erfordert, bin ich rundum zufrieden mit meiner Wahl und kann den i9-14900KF jedem empfehlen, der das Beste aus seinem System herausholen möchte.",11 June 2024,Competition Sentiment
